id,anio,trimestre,mes,no_registro,tipo_deuda,detalle_tipo_deuda,acreedor,concepto,inicio_credito,fin_credito,dias_contrato,dias_restantes_contrato,disposicion_inicial_credito,colocacion_periodo,amortizaciones_periodo,intereses_periodo,pago_servicio_deuda,saldo_periodo,endeudamiento_periodo,tasa,sobretasa,tasa_final
20,2018,4,Diciembre,P09-1012161,Largo Plazo,Bonos Cup贸n Cero,BANOBRAS,BANOBRAS 294,30/11/12,25/11/32,7300,5078,294874160,0,0,23618601.14,23618601.14,294874160,0,7.02,0.88,7.9
21,2018,4,Diciembre,P09-1014157,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 14,03/11/14,21/10/24,3640,2121,2500000000,0,0,162283333.3,162729166.7,2500000000,0,6.42,,6.42
22,2018,4,Diciembre,P09-1213189,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 1,024",31/12/13,25/10/23,3585,1759,1024317877,0,123317629.2,68849419.7,192167048.9,753461598.2,-123317629.2,TIIE,0.32,TIIE+0.32
23,2018,4,Diciembre,P09-1216054,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GCDMXCB 16V,09/12/16,03/12/21,1820,1068,1000000000,0,0,84037222.2,87528055.51,1000000000,0,TIIE,0.42,TIIE+0.42
24,2018,4,Diciembre,P09-1217133,Largo Plazo,Banca Comercial,HSBC,"HSBC 2,500",29/12/17,26/12/24,2554,2187,2500000000,0,357142857.1,175102777.8,532245634.9,2142857143,-357142857.1,7.46,,7.46
25,2018,4,Diciembre,260/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS  4,806",17/10/07,26/10/37,10967,6874,4806995489,0,19520976.19,396458617.8,415979594,4704659826,-19520976.19,TIIE,0.35,TIIE+0.35
26,2018,4,Diciembre,262/2007,Largo Plazo,Banca de Desarrollo,BANOBRAS,"BANOBRAS 4,000",17/10/07,25/10/47,14618,10525,4000000000,0,0,343610222.2,343610222.2,4000000000,0,TIIE,0.53,TIIE+0.53
27,2018,4,Diciembre,514/2008,Largo Plazo,Banca de Desarrollo,BANOBRAS,BANOBRAS  175,24/12/09,27/11/28,6913,3619,174978799.6,0,9687716.64,8511421.21,18199137.85,96069856.37,-9687716.64,TIIE,0.35,TIIE+0.35
28,2018,4,Diciembre,721/2011,Largo Plazo,Banca Comercial,BANAMEX,"BANAMEX 1,500",29/12/11,28/12/26,5478,2919,1500000000,0,80838324,65883142.04,146721466,1014970056,-80838324,TIIE,TIIE-1.815,TIIE+TIIE-1.815
29,2018,4,Diciembre,P09-0915121,Largo Plazo,Mercado de Capitales,EVERCORE,BONO GDFECB 15-2,25/09/15,12/09/25,3640,2447,2500000000,0,0,169361111.1,169361111.1,2500000000,0,6.7,,6.7
