"","Fecha","Pesos por dólar"
"6297",2009-02-08,14.2945
"6298",2009-02-09,14.2945
"6299",2009-02-10,14.1778
"6300",2009-02-11,14.1392
"6301",2009-02-12,14.3575
"6302",2009-02-13,14.5313
"6303",2009-02-14,14.6013
"6304",2009-02-15,14.6013
"6305",2009-02-16,14.6013
"6306",2009-02-17,14.4326
"6307",2009-02-18,14.5288
"6308",2009-02-19,14.6118
"6309",2009-02-20,14.6725
"6310",2009-02-21,14.5505
"6311",2009-02-22,14.5505
"6312",2009-02-23,14.5505
"6313",2009-02-24,14.8163
"6314",2009-02-25,14.8528
"6315",2009-02-26,14.8327
"6316",2009-02-27,14.9275
"6317",2009-02-28,14.9322
"6318",2009-03-01,14.9322
"6319",2009-03-02,14.9322
"6320",2009-03-03,15.0698
"6321",2009-03-04,15.365
"6322",2009-03-05,15.3372
"6323",2009-03-06,15.2178
"6324",2009-03-07,15.2855
"6325",2009-03-08,15.2855
"6326",2009-03-09,15.2855
"6327",2009-03-10,15.2633
"6328",2009-03-11,15.3517
"6329",2009-03-12,15.3142
"6330",2009-03-13,15.1145
"6331",2009-03-14,14.9083
"6332",2009-03-15,14.9083
"6333",2009-03-16,14.9083
"6334",2009-03-17,14.9083
"6335",2009-03-18,14.569
"6336",2009-03-19,14.0502
"6337",2009-03-20,14.1457
"6338",2009-03-21,14.08
"6339",2009-03-22,14.08
"6340",2009-03-23,14.08
"6341",2009-03-24,14.148
"6342",2009-03-25,14.3204
"6343",2009-03-26,14.2683
"6344",2009-03-27,14.2358
"6345",2009-03-28,14.2163
"6346",2009-03-29,14.2163
"6347",2009-03-30,14.2163
"6348",2009-03-31,14.3317
"6349",2009-04-01,14.3855
"6350",2009-04-02,14.1517
"6351",2009-04-03,13.9108
"6352",2009-04-04,13.7924
"6353",2009-04-05,13.7924
"6354",2009-04-06,13.7924
"6355",2009-04-07,13.6137
"6356",2009-04-08,13.6325
"6357",2009-04-09,13.5712
"6358",2009-04-10,13.5712
"6359",2009-04-11,13.5712
"6360",2009-04-12,13.5712
"6361",2009-04-13,13.5712
"6362",2009-04-14,13.3648
"6363",2009-04-15,13.0914
"6364",2009-04-16,13.086
"6365",2009-04-17,13.1683
"6366",2009-04-18,13.0511
"6367",2009-04-19,13.0511
"6368",2009-04-20,13.0511
"6369",2009-04-21,13.1558
"6370",2009-04-22,13.32
"6371",2009-04-23,13.175
"6372",2009-04-24,13.1457
"6373",2009-04-25,13.3099
"6374",2009-04-26,13.3099
"6375",2009-04-27,13.3099
"6376",2009-04-28,13.2318
"6377",2009-04-29,13.755
"6378",2009-04-30,13.8667
"6379",2009-05-01,13.6485
"6380",2009-05-02,13.6485
"6381",2009-05-03,13.6485
"6382",2009-05-04,13.6485
"6383",2009-05-05,13.8443
"6384",2009-05-06,13.35
"6385",2009-05-07,13.2242
"6386",2009-05-08,13.2268
"6387",2009-05-09,13.1103
"6388",2009-05-10,13.1103
"6389",2009-05-11,13.1103
"6390",2009-05-12,13.1067
"6391",2009-05-13,13.1008
"6392",2009-05-14,13.2208
"6393",2009-05-15,13.3177
"6394",2009-05-16,13.2983
"6395",2009-05-17,13.2983
"6396",2009-05-18,13.2983
"6397",2009-05-19,13.2058
"6398",2009-05-20,13.1363
"6399",2009-05-21,12.968
"6400",2009-05-22,12.8695
"6401",2009-05-23,13.103
"6402",2009-05-24,13.103
"6403",2009-05-25,13.103
"6404",2009-05-26,13.1728
"6405",2009-05-27,13.1375
"6406",2009-05-28,13.1338
"6407",2009-05-29,13.159
"6408",2009-05-30,13.2337
"6409",2009-05-31,13.2337
"6410",2009-06-01,13.2337
"6411",2009-06-02,13.1667
"6412",2009-06-03,13.155
"6413",2009-06-04,13.2609
"6414",2009-06-05,13.3172
"6415",2009-06-06,13.2675
"6416",2009-06-07,13.2675
"6417",2009-06-08,13.2675
"6418",2009-06-09,13.2768
"6419",2009-06-10,13.45
"6420",2009-06-11,13.4793
"6421",2009-06-12,13.6507
"6422",2009-06-13,13.4581
"6423",2009-06-14,13.4581
"6424",2009-06-15,13.4581
